time,rate,accumulation
2000,0.00,0.01
2015,0.00,0.01
2030,0.00,0.01
2045,0.13,0.14
2100,1.80,1.81
2115,2.51,2.52
2130,2.55,2.56
2145,2.40,2.57
2200,0.76,2.57
2215,0.05,2.57
