time,rate,accumulation
1130,0.21,0.22
1145,0.27,0.28
1200,0.22,0.30
1215,0.16,0.30
1230,0.08,0.30
1245,0.02,0.30
1300,,
1315,0.55,0.85
1330,1.12,1.42
1345,2.04,2.34
1400,2.83,3.21
1415,2.43,3.30
1430,1.85,3.32
1445,0.97,3.41
1500,0.18,3.41
